ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Reviewer,Review
09-13,31/03/23 05:25:19,https://twitter.com/IAmMccoyLinggo/status/1510638742507520001,09,"Maceda, Westin",RBRD,Leni's incompetence/corruptness as a VP,#lenimagnanakaw,@iammccoylinggo,Mccoy,"You can give without Love, but you cannot Love without giving.",Anonymous,03/16,33,22,Makati City,@thekikomachines #LeniDuwag #LeniMagnanakaw #LeniSinungaling #LeniMandaraya #LetLeniRead 😂🤣😜,,"Text, Reply",04/03/22 23:21,,Rational,0,0,0,,,,"There is no evidence to suggest that Leni is corrupt.

https://www.gmanetwork.com/news/topstories/nation/830199/robredo-says-ovp-s-highest-rating-from-coa-shows-no-corruption-in-her-track-record/story/",,,
09-14,31/03/23 05:25:19,https://twitter.com/myejolene/status/842474315861901312,09,"Maceda, Westin",RBRD,Leni's incompetence/corruptness as a VP,#lenimagnanakaw,@myejolene,Mye Venus,Cooking tasty foods😂😂,Anonymous,03/17,9,0,,#leniPowerGrabber #LeniResign  #lenifakeVP #Lenimagnanakaw  Salot k s lipunan..,,Text,17/03/17 04:35,,Emotional,0,0,0,,,,"There is no evidence to suggest that Leni is corrupt.

https://www.gmanetwork.com/news/topstories/nation/830199/robredo-says-ovp-s-highest-rating-from-coa-shows-no-corruption-in-her-track-record/story/",No Location.,,
09-15,31/03/23 05:25:19,https://twitter.com/meran_czy/status/1495803917275439106,09,"Maceda, Westin",RBRD,Leni's incompetence/corruptness as a VP,#lenimagnanakaw,@meran_czy,none of your business,way 2 sexy,Anonymous,09/21,40,5,,Karugtong #LENIDUWAG #lenimagnanakaw #LeniTangaSaLahat #santonginanyo,,"Text, Video",22/02/22 00:53,,Rational,0,1,0,,,,"There is no evidence to suggest that Leni is corrupt.

https://www.gmanetwork.com/news/topstories/nation/830199/robredo-says-ovp-s-highest-rating-from-coa-shows-no-corruption-in-her-track-record/story/",No Location.,,
09-16,31/03/23 05:25:19,https://twitter.com/RMenzii/status/1515491982021480451,09,"Maceda, Westin",RBRD,Leni's incompetence/corruptness as a VP,#lenimagnanakaw,@rmenzii,orih,,Anonymous,02/22,4,1,,@macmac541 #LeniMagNanakaw #LeniLutang #LeniSinungaling #NeverAgainToDilawan #neverAgainToPinklawan,,"Text, Reply",17/04/22 08:46,,Rational,0,1,0,,,,"There is no evidence to suggest that Leni is corrupt.

https://www.gmanetwork.com/news/topstories/nation/830199/robredo-says-ovp-s-highest-rating-from-coa-shows-no-corruption-in-her-track-record/story/",No Location and Account bio.,,
09-17,31/03/23 05:25:19,https://twitter.com/AyawSaFake/status/1503236748888842242,09,"Maceda, Westin",RBRD,Leni's incompetence/corruptness as a VP,#lenimagnanakaw,@ayawsafake,Filo✌🏼👊🏻,,Anonymous,10/14,581,185,Republic of the Philippines,@manilabulletin What?! Pinaka-mahina na ang half million? 😲😲😲  Iyaaaaaaaaaaaakkkkk! 🤣🤣🤣🤣🤣🤣  #LeniMagnanakaw,,"Text, Reply",14/03/22 13:09,,Rational,0,0,0,,,,"There is no evidence to suggest that Leni is corrupt.

https://www.gmanetwork.com/news/topstories/nation/830199/robredo-says-ovp-s-highest-rating-from-coa-shows-no-corruption-in-her-track-record/story/",No Account bio.,,
09-18,31/03/23 05:25:19,https://twitter.com/AyawSaFake/status/1489186299734999045,09,"Maceda, Westin",RBRD,Leni's incompetence/corruptness as a VP,#lenimagnanakaw,@ayawsafake,Filo✌🏼👊🏻,,Anonymous,10/14,581,185,Republic of the Philippines,@hecklerforever8 #LeniMagnanakaw 🤣🤣🤣🤣,,"Text, Image, Reply",02/03/22 18:37,,Rational,0,0,0,,,,"There is no evidence to suggest that Leni is corrupt.

https://www.gmanetwork.com/news/topstories/nation/830199/robredo-says-ovp-s-highest-rating-from-coa-shows-no-corruption-in-her-track-record/story/",No Account bio.,,
09-19,31/03/23 05:25:19,https://twitter.com/AyawSaFake/status/1485314503478677505,09,"Maceda, Westin",RBRD,Leni's incompetence/corruptness as a VP,#lenimagnanakaw,@ayawsafake,Filo✌🏼👊🏻,,Anonymous,10/14,581,185,Republic of the Philippines,BBM ako dati pero dahil hindi siya nagpa-interview kay JSojo..  BBM SOLID na ako!!  #LeniDuwag #lenimagnanakaw,,Text,24/01/22 02:12,,Rational,0,0,0,,,,"There is no evidence to suggest that Leni is corrupt.

https://www.gmanetwork.com/news/topstories/nation/830199/robredo-says-ovp-s-highest-rating-from-coa-shows-no-corruption-in-her-track-record/story/",No Account bio.,,
09-20,31/03/23 05:25:19,https://twitter.com/AyawSaFake/status/1483696410314768389,09,"Maceda, Westin",RBRD,Leni's incompetence/corruptness as a VP,#lenimagnanakaw,@ayawsafake,Filo✌🏼👊🏻,,Anonymous,10/14,581,185,Republic of the Philippines,@smninews Psst! Yang script mo ipasa mo rin sa troll farm mo para tugma ang nginangawa mo sa nginangawa nila! Mga ulopong na bobo kayo! Script na nga lang hindi nyo na maayos ayos problema pa kaya ng barangay! Ang ta-tanga ng mga lahi nyo!😂😂😂 #Lenimagnanakaw,,"Text, Reply",19/01/22 15:02,,Rational,0,0,0,,,,"There is no evidence to suggest that Leni is corrupt.

https://www.gmanetwork.com/news/topstories/nation/830199/robredo-says-ovp-s-highest-rating-from-coa-shows-no-corruption-in-her-track-record/story/",No Account bio.,,
09-21,31/03/23 05:25:19,https://twitter.com/WallyAndKuki05/status/1499962879550042113,09,"Maceda, Westin",RBRD,Leni's incompetence/corruptness as a VP,#lenimagnanakaw,@wallyandkuki05,Wallabee Beatles ❤️ Kuki Sanban - Bealtes ✌️🫱,"17th President of the Philippines ❤️💚
15th VicePresident of the Philippines
✌️👊🇵🇭♥💚
Wally❤️Kuki #KND X #BBMSARA #LenLenLoser #BuhayTangaNGA",Anonymous,10/21,2926,895,TheBeatles/SanbanResid/PH🇵🇭,@Iyotlami7 @jstnbenedict #LeniMagnanakawNgBoto  #LeniMagnanakaw #LibogParty 😂😂😂😂,,"Text, Image, Reply",03/05/22 12:19,,Rational,0,1,0,,,,"There is no evidence of cheating by Leni (or any candidate) in the 2022 elections.

https://www.rappler.com/nation/robredo-says-did-not-see-evidence-2022-elections/",Fake Location.,,
09-22,31/03/23 05:25:19,https://twitter.com/Ronean/status/1522120233913311234,09,"Maceda, Westin",RBRD,Leni's incompetence/corruptness as a VP,#lenimagnanakaw,@ronean,Ronian,easy to be with...it is for you to find out 😉,Anonymous,06/11,238,653,basically on earth,@lenirobredo @teamlenirobredo  🤭🤭🤭  #KayLeniTalo #KayLeniPatayTayo  #LeniMagnanakaw,,"Text, Quote Tweet",05/05/22 15:45,,Emotional,6,0,2,,,,"There is no evidence to suggest that Leni is corrupt or a thief.

https://www.gmanetwork.com/news/topstories/nation/830199/robredo-says-ovp-s-highest-rating-from-coa-shows-no-corruption-in-her-track-record/story/",Location too vague.,,
09-23,31/03/23 04:55:37,https://twitter.com/im_marielsarm/status/1448080716106018824,09,"Maceda, Westin",RBRD,Leni's incompetence/corruptness as a VP,#lenicorrupt,@im_marielsarm,Mariel Sarmiento,,Anonymous,03/10,95,82,,#LeniCorrupt #LetLeniLeave2022  #BBMIsMyPresident2022,,"Text, Quote Tweet",13/10/21 08:18,,Rational,0,0,0,,,,"There is no evidence to suggest that Leni is corrupt.

https://www.gmanetwork.com/news/topstories/nation/830199/robredo-says-ovp-s-highest-rating-from-coa-shows-no-corruption-in-her-track-record/story/",No Location and Account bio. Unsure if real name is used for the account.,,
09-24,31/03/23 05:25:19,https://twitter.com/Markikomatsing/status/1535658491305955328,09,"Maceda, Westin",RBRD,Leni's incompetence/corruptness as a VP,#lenimagnanakaw,@markikomatsing,Mark,engineer. pinoy.,Anonymous,10/17,119,34,Singapore,@kahector4 Ang sinungaling ay kapatid ng magnanakaw. #LeniMagnanakaw,,"Text, Reply",06/12/22 00:21,,Rational,3,0,0,,,,"There is no evidence to suggest that Leni is corrupt.

https://www.gmanetwork.com/news/topstories/nation/830199/robredo-says-ovp-s-highest-rating-from-coa-shows-no-corruption-in-her-track-record/story/",May have used real photo.,,
09-25,31/03/23 05:25:19,https://twitter.com/greenluving/status/1486128133200052224,09,"Maceda, Westin",RBRD,Leni's incompetence/corruptness as a VP,#lenimagnanakaw,@greenluving,Euphoria💜💚💜,Shine Dream Smile,Anonymous,05/10,323,335,Philippines,@dkarlocastro #LeniMagnanakaw,,"Text, Reply",26/01/22 08:05,,Rational,0,0,0,,,,"There is no evidence to suggest that Leni is corrupt.

https://www.gmanetwork.com/news/topstories/nation/830199/robredo-says-ovp-s-highest-rating-from-coa-shows-no-corruption-in-her-track-record/story/",,,
09-26,31/03/23 05:25:19,https://twitter.com/cassandra143442/status/1484764051821453316,09,"Maceda, Westin",RBRD,Leni's incompetence/corruptness as a VP,#lenimagnanakaw,@cassandra143442,casey,i love myself Just the way I am!,Anonymous,01/19,1782,1134,,Eto ba napanood nyo @babytalk_1234 @mangtomas2020 @iamscottrod 😂😂😂😂😂😂 #lenimagnanakaw,,"Text, Video",22/01/22 13:45,,Rational,0,1,0,,,,"There is no evidence to suggest that Leni is corrupt.

https://www.gmanetwork.com/news/topstories/nation/830199/robredo-says-ovp-s-highest-rating-from-coa-shows-no-corruption-in-her-track-record/story/",No Location. May have used real photo.,,
09-27,19/04/23 19:10:11,https://twitter.com/SandroRodrique5/status/1592835301277597697,09,"Garais, Zandrew",RBRD,Leni's incompetence/corruptness as a VP,leni tamad,@sandrorodrique5,Sandro Rodriquez,,Anonymous,10/22,4,2,,@NinaCorpuz16 @PhilippineStar Talaga ba.. tamad talaga huy mas kilala ko pa si bbm kaysa kay leni c bbm hindi niya pinabayaan ang proyekto niya katulad ni leni nung nagiging vp siya diba ang haba niya bakasyon sa amerika at pinabayaan niya proyekto niya,,"Text, Reply",16/11/22 19:01,,Rational,0,1,0,,,,https://www.philstar.com/headlines/2016/12/27/1657155/wheres-leni-vp-defends-us-vacation,No Location and Account bio.,,
09-28,19/04/23 19:10:11,https://twitter.com/lugawansa2028/status/1578213742005092352,09,"Garais, Zandrew",RBRD,Leni's incompetence/corruptness as a VP,leni tamad,@lugawansa2028,Mama Lootang,"Hooman Rights Liar. Mudra of Aipa, Tripia & Lillian. Bolet's Property. Public CR. 14th Vice Puppet of the Pilipens.",Anonymous,10/22,222,443,Agaw Buhay Foundation,@SanteDalsa @1of14m #KulayRosasAngBukas kung tamad si bbm eh si leni BATUGAN hahaha  PROTECT PBBM #DefendPBBM,,"Text, Reply",07/10/22 10:40,,Rational,1,2,0,,,,"The purpose of photos is for proper documentation and not propaganda. 

https://newsinfo.inquirer.net/1363141/too-much-photo-ops-robredo-says-they-only-want-donors-to-know-where-funds-went",Fake location,,
09-29,19/04/23 19:10:11,https://twitter.com/chingskey2/status/1574286282905161729,09,"Garais, Zandrew",RBRD,Leni's incompetence/corruptness as a VP,leni tamad,@chingskey2,Matutina_PIPAY ❤️❤️❤️💚💚💚 UNITEAM,"Mabait wag lang galitin at sumasabog ito,yan ang tunay kong pagkatao,may matibay na paninindigan sa sarili,hindi marunong MAMBINTANG at takot sa KARMA.",Anonymous,12/21,304,181,Sequihor Negros Oriental,"@BeritasEkwitas @datumx11 Mas TAMAD c LENI niyo photo opps lang Ang alam,FYI Ikaw Ang KAWATAN",,"Text, Reply",26/09/22 14:34,,Rational,0,0,0,,,,"Former VP Robredo has been productive during her term.

https://mb.com.ph/2022/01/02/leni-robredos-six-years-as-vp-what-she-has-achieved/",May have used real photo.  No real name,,
09-30,19/04/23 19:10:11,https://twitter.com/FarthiNanthi/status/1574271196513697792,09,"Garais, Zandrew",RBRD,Leni's incompetence/corruptness as a VP,leni tamad,@farthinanthi,ᵢₙᵢₜᵢₐₗ F,d tsip 10,Anonymous,08/18,375,229,homebody,@datumx11 hay naku tatamad tamad pala president leni ninyo🤣,,"Text, Reply",26/09/22 13:34,,Rational,1,0,0,,,,"Former VP Robredo has been productive during her term.

https://mb.com.ph/2022/01/02/leni-robredos-six-years-as-vp-what-she-has-achieved/",Fake location,,
09-31,19/04/23 09:38:01,https://twitter.com/Patriot949596/status/1541043322336464896,09,"Garais, Zandrew",RBRD,Leni's incompetence/corruptness as a VP,leni inept,@patriot949596,patriot,Mahalin natin ang Pilipinas. ðŸ‡µðŸ‡­,Anonymous,05/11,98,155,,"@GemoraAudie C Leni ang okay lang na sinayang. Incompetent, inept. Good riddance.",,"Text, Reply",26/06/22 20:58,,Rational,1,0,0,,,,"Former VP Robredo has been productive during her term.

https://mb.com.ph/2022/01/02/leni-robredos-six-years-as-vp-what-she-has-achieved/",No Location.,,
09-32,19/04/23 09:38:02,https://twitter.com/Patriot949596/status/1533986167246311424,09,"Garais, Zandrew",RBRD,Leni's incompetence/corruptness as a VP,leni inept,@patriot949596,patriot,Mahalin natin ang Pilipinas. ðŸ‡µðŸ‡­,Anonymous,05/11,98,155,,@pinoyanghang Leni is really not meant to and will never be Prez of the Philippines. She doesnâ€™t have what it takes. Thatâ€™s the reality. To say that God saved her is a lie. Itâ€™s actually the Philippines that God saved from this inept and incompetent individual. Good riddance.,,"Text, Reply",07/06/22 09:36,,Rational,54,0,19,,,,"Former VP Robredo has been productive during her term.

https://mb.com.ph/2022/01/02/leni-robredos-six-years-as-vp-what-she-has-achieved/",No Location.,,
09-33,19/04/23 09:38:03,https://twitter.com/imagine77946649/status/1529921331365457920,09,"Garais, Zandrew",RBRD,Leni's incompetence/corruptness as a VP,leni inept,@imagine77946649,imaginePeace,,Anonymous,01/20,10,21,,"@honeymac23 @lopeboie Inang Leni unfit for public service. Nation witnessed its awful performance. Better to get an experienced social worker, that knew the role &amp; services in government to people. Robredo, proven inept. Incompetent has no place to public services... #KikoPabigatPangilinanKnows☀️",,"Text, Reply",27/05/22 04:24,,Rational,4,0,0,,,,"Former VP Robredo has been productive during her term.

https://mb.com.ph/2022/01/02/leni-robredos-six-years-as-vp-what-she-has-achieved/",No Location and Account bio.,,
09-34,19/04/23 09:38:04,https://twitter.com/imagine77946649/status/1529865959229444100,09,"Garais, Zandrew",RBRD,Leni's incompetence/corruptness as a VP,leni inept,@imagine77946649,imaginePeace,,Anonymous,01/20,10,21,,"@TeacherToto @Marlo72297301 @VancouverEye @kikopangilinan If inang-Leni truly intelligent, she suppose to gather the 31.5 million votes instead. But the nation only witnessed her incompetent, low IQ &amp; awful performance... That sweet lips, congee &amp; spaghetti won’t solve the issue. Signs of weakness, inept &amp; ain’t for public services.",,"Text, Image, Reply",27/05/22 00:44,,Rational,1,0,0,,,,"Former VP Robredo has been productive during her term.

https://mb.com.ph/2022/01/02/leni-robredos-six-years-as-vp-what-she-has-achieved/",No Location and Account bio.,,
09-35,19/04/23 09:38:05,https://twitter.com/bee_smark/status/1519490207803871232,09,"Garais, Zandrew",RBRD,Leni's incompetence/corruptness as a VP,leni inept,@bee_smark,BEESmark,"anything with humor

willing to learn.
Educate me and take me through it..
COMMON SENSE RULES",Anonymous,05/21,1093,1095,,@Hayiiyah18 @kwarantino19 @canete_darwin .she supported her mother's candidacy..thats all her daughters fault..they knew from the very start that their mother LENI is an inept VP..and inept political figure totally..and still decided anyway to vie for presidency.. WHAT COUD BE MORE OF A MISTAKE THAN THAT,,"Text, Reply",28/04/22 09:34,,Rational,0,0,0,,,,"Former VP Robredo has been productive during her term.

https://mb.com.ph/2022/01/02/leni-robredos-six-years-as-vp-what-she-has-achieved/",No Location.,,
09-36,19/04/23 09:38:06,https://twitter.com/Sefffanx/status/1519352077830348800,09,"Garais, Zandrew",RBRD,Leni's incompetence/corruptness as a VP,leni inept,@sefffanx,S,"All views, thoughts, and opinions expressed here are my own. - Descendant of the Three Stars and the Sun. Ø§Ù„Ø­ÙŠØ§Ø© Ø­Ù„ÙˆØ©",Anonymous,09/07,515,168,MNL,"or that these even exist in her head.  Isn't it having LENI as president who is inept, hypocritical, a liar, encourages cancel culture, spreads fake news, knowingly misinforms the public, and disrespects the church, among other things, MORE DANGEROUS?  Dats all por taday’s bidyo",,"Text, Video",28/04/22 00:25,,Rational,0,0,0,,,,"Former VP Robredo has been productive during her term.

https://mb.com.ph/2022/01/02/leni-robredos-six-years-as-vp-what-she-has-achieved/",,,
09-37,19/04/23 09:38:07,https://twitter.com/Blu_Gunderson24/status/1511079101603360768,09,"Garais, Zandrew",RBRD,Leni's incompetence/corruptness as a VP,leni inept,@blu_gunderson24,Blu-G,#UniTeam #MarcosOfThePhilippines,Anonymous,05/17,129,72,,"Leni”s almost 6 years as Vice President could have been enough to catapult her to the front in her bid for the highest position in the land.  But nothing she’s done was right. To the opposite, everything she does only shows how shallow, inept and incapable she is as leader.",,Text,05/04/22 04:31,,Rational,0,0,0,,,,"Former VP Robredo has been productive during her term.

https://mb.com.ph/2022/01/02/leni-robredos-six-years-as-vp-what-she-has-achieved/",No Location.,,
09-38,19/04/23 09:38:08,https://twitter.com/PulbuRonn/status/1497903704082550790,09,"Garais, Zandrew",RBRD,Leni's incompetence/corruptness as a VP,leni inept,@pulburonn,Ronn,"Writer | AB Journalism from PUP (the UP bootleg hihi) MMPA, Stoic, Political Pragmatist.

Ba't ka tumitingin sa profile ko? Shoo.",Identified,09/17,144,3768,,"Oh Leni, we don't need ""fake news"" to know how inept you are and how effective the incumbent is. We know you're running because your party is threatened to be extinct.  Teka, ba't ang eloquent nya talaga ngayon? Ang layo sa mga impromptu interviews nya. Nagdududa talaga ako ha 🤭",,Text,27/02/22 19:57,,Rational,371,31,85,,,,"Former VP Robredo has been productive during her term.

https://mb.com.ph/2022/01/02/leni-robredos-six-years-as-vp-what-she-has-achieved/",No Location.,,
09-39,19/04/23 21:09:58,https://twitter.com/doohlapeep/status/1474475819699675136,09,"Garais, Zandrew",RBRD,Leni's incompetence/corruptness as a VP,leni inept,@doohlapeep,Doohlapeep,A Bi turkey,Anonymous,05/20,567,404,,@dgllnkhrl @Jijuuee @nicoquejano Leni is bobita tapos pinklawans claim napakatalino nila 🤣🤣 yuck as in malaking yuucccckkk.   She is inept and lutang palagi. Maawa kayo sa Pinas jusko 🤣,,"Text, Reply",25/12/21 04:23,,Rational,0,1,0,,,,"Former VP Robredo has been productive during her term.

https://mb.com.ph/2022/01/02/leni-robredos-six-years-as-vp-what-she-has-achieved/",No Location.,,
09-40,19/04/23 21:09:58,https://twitter.com/channisi/status/1465098879418863624,09,"Garais, Zandrew",RBRD,Leni's incompetence/corruptness as a VP,leni inept,@channisi,Mister T 陳尼希 נחמיה טאן 👊👊👊,Eat drink and be merry 🍷🍓🥞🍔🍟🥙🌯🥗🍝🍜🍱🍢🍠🦐🦑🍧🍨🍭🍰☕🍵,Anonymous,06/09,1080,654,"14.684431,120.983468",@manilabulletin Inept doctors choose inept moronic Leni,,"Text, Reply",29/11/21 07:22,,Rational,3,0,0,,,,"Former VP Robredo has been productive during her term.

https://mb.com.ph/2022/01/02/leni-robredos-six-years-as-vp-what-she-has-achieved/",,,
